customer_id,order_number,order_revenue,follow_up_email,discount_amt_in_follow_up_email
2537,1,2.14,Y,2
3090,1,2.84,Y,2
4077,1,2.27,Y,2
1598,1,2.91,Y,2
4372,1,2.18,Y,2
2275,1,2.02,Y,2
2614,1,2.01,Y,2
2050,1,2.35,Y,2
679,1,2.72,Y,2
2238,1,2.71,Y,2
1315,1,2.79,Y,2
3270,1,2.68,Y,2
252,1,2.21,Y,2
957,1,2.26,Y,2
2881,1,2.87,Y,2
3825,1,2.98,Y,2
2851,1,2.07,Y,2
1613,1,2.53,Y,2
3408,1,2.11,Y,2
3804,1,2.71,Y,2
2323,1,2.25,Y,2
4958,1,2.08,Y,2
4343,1,2.75,Y,2
3672,1,2.6,Y,2
2685,1,2.18,Y,2
778,1,2.86,Y,2
2777,1,2.07,Y,2
1397,1,2.36,Y,2
1281,1,2.12,Y,2
1173,1,2.81,Y,2
3385,1,2.59,Y,2
1588,1,2.97,Y,2
1793,1,2.47,Y,2
682,1,2.31,Y,2
1454,1,2.39,Y,2
1518,1,2.54,Y,2
4943,1,2.81,Y,2
388,1,2.26,Y,2
4360,1,2.68,Y,2
1005,1,2.87,Y,2
1503,1,2.6,Y,2
3065,1,2.43,Y,2
3309,1,2.55,Y,2
725,1,2.21,Y,2
4901,1,2.82,Y,2
3637,1,2.83,Y,2
240,1,2.53,Y,2
2963,1,2.86,Y,2
4866,1,2.77,Y,2
3239,1,2.33,Y,2
1998,1,2.84,Y,2
2312,1,2.05,Y,2
394,1,2.75,Y,2
527,1,2.63,Y,2
3459,1,2.56,Y,2
837,1,2.53,Y,2
4062,1,2.74,Y,2
600,1,2.14,Y,2
2828,1,2.33,Y,2
5013,1,2.82,Y,2
186,1,2.39,Y,2
1206,1,2.37,Y,2
4830,1,2.2,Y,2
2658,1,2.82,Y,2
4689,1,2.69,Y,2
1014,1,2.12,Y,2
1459,1,2.86,Y,2
4034,1,2.77,Y,2
3156,1,2.27,Y,2
2991,1,2.05,Y,2
4996,1,2.06,Y,2
762,1,2.13,Y,2
1883,1,2.1,Y,2
1534,1,2.35,Y,2
2575,1,2.33,Y,2
2053,1,2.1,Y,2
2895,1,2.68,Y,2
4838,1,2.99,Y,2
1920,1,2.98,Y,2
558,1,3,Y,2
1836,1,2.12,Y,2
4923,1,2.2,Y,2
2068,1,2.71,Y,2
2743,1,2.82,Y,2
3164,1,2.3,Y,2
2518,1,2.05,Y,2
4481,1,2.29,Y,2
2691,1,2.18,Y,2
727,1,2.8,Y,2
3361,1,2.21,Y,2
1751,1,2.13,Y,2
4918,1,2.08,Y,2
4629,1,2.83,Y,2
1665,1,2.06,Y,2
626,1,2.28,Y,2
3359,1,2.24,Y,2
1365,1,3,Y,2
417,1,2.06,Y,2
2289,1,2.21,Y,2
1810,1,2.53,Y,2
4193,1,2.21,Y,2
1013,1,2.01,Y,2
1521,1,2.32,Y,2
3140,1,2.62,Y,2
3291,1,2,Y,2
613,1,2.75,Y,2
860,1,2.81,Y,2
1584,1,2.88,Y,2
579,1,2.89,Y,2
4732,1,2.11,Y,2
4190,1,2.43,Y,2
3231,1,2.6,Y,2
2459,1,2.55,Y,2
4650,1,2.67,Y,2
1018,1,2.84,Y,2
3597,1,2.2,Y,2
5299,1,2.61,Y,2
2636,1,2.91,Y,2
3592,1,2.65,Y,2
124,1,2.89,Y,2
3349,1,2.57,Y,2
724,1,2.42,Y,2
4104,1,2.35,Y,2
3034,1,2.89,Y,2
4756,1,2.81,Y,2
4308,1,2.54,Y,2
3603,1,2.17,Y,2
